Symbol,Name,Exchange,Sector,Industry,SCTR,Universe,Close,Volume
CCIV,Churchill Capital Corp IV,NYSE,,,,,31.1,67581861
CHPT,"ChargePoint Holdings, Inc.",NYSE,Consumer Discretionary,Specialty Retailers,,,24.7,8033381
CIIC,CIIG Merger Corp.,NASD,,,,,24.16,1290411
CLM,Cornerstone Strategic Value Fund Inc.,AMEX,,,,,12.88,1220896
CLSK,"CleanSpark, Inc.",NASD,Technology,Software,,,22.68,19789853
CLVT,Clarivate Plc,NYSE,Technology,Software,,,25.75,3137522
CPE,Callon Petroleum Co. Del,NYSE,Energy,Exploration & Production,,,40.48,1771543
CPNG,Coupang Inc.,NYSE,Consumer Discretionary,Broadline Retailers,,,47.13,14552371
CRIS,"Curis, Inc.",NASD,Health Care,Biotechnology,,,10.55,1241292
CRON,Cronos Group Inc.,NASD,Health Care,Biotechnology,,,10.19,3675912
CRSP,CRISPR Therapeutics AG,NASD,Health Care,Biotechnology,,,130.57,1484215
CRSR,Corsair Gaming Inc.,NASD,Technology,Computer Hardware,,,34.18,1585883
CSIQ,Canadian Solar Inc.,NASD,Technology,Renewable Energy Equipment,,,42.52,2581502
CSTM,Constellium NV,NYSE,Materials,Aluminum,,,16.54,1290965
CTL,CenturyLink Inc.,NYSE,Communication Services,Mobile Telecommunications,,,14.03,7845410
CVAC,CureVac B.V.,NASD,Health Care,Biotechnology,,,93.61,1001443
CYTH,Cyclo Therapeutics Inc.,NASD,,,,,12.41,3990058
DADA,Dada Nexus Ltd,NASD,Communication Services,Media Agencies,,,30.59,1018618
DASH,DoorDash Inc.,NYSE,Communication Services,Internet,,,133.66,2477471
DCUE,Dominion Energy Inc,NYSE,Utilities,Multiutilities,,,97.34,1726862
DESP,"Despegar.com, Corp.",NYSE,Technology,Computer Services,,,16.95,1460491
DISCK,"Discovery, Inc.",NASD,Communication Services,Entertainment,,,62.36,11067884
DM,Desktop Metal Inc.,NYSE,Technology,Computer Hardware,,,18.92,4751993
DMYI,DMY Technology Group Inc.,NYSE,,,,,11.02,1387333
DNB,Dun & Bradstreet Holdings Inc,NYSE,Technology,Software,,,24.1,2833980
DNMR,"Danimer Scientific, Inc.",NYSE,,,,,46.63,2921812
DOYU,DouYu International Holdings Ltd.,NASD,Communication Services,Entertainment,,,14.11,2273545
DQ,Daqo New Energy Corp.,NYSE,Materials,Specialty Chemicals,,,85.73,1696984
EBACU,European Biotech Acquisition Corp.,NASD,,,,,10,4158264
EBC,Eastern Bankshares Inc.,NASD,Financial,Banks,,,19.01,1375786
EBON,Ebang International Holdings Inc,NASD,Technology,Computer Hardware,,,10.45,32740995
EH,EHang Holdings Ltd,NASD,Industrial,Aerospace,,,47.58,2508325
ELP,"Companhia Paranaense de Energia, SA",NYSE,Utilities,Multiutilities,,,12.78,2548822
ETHE,Grayscale Ethereum Trust,OTCMKT,,,,,17.54,2249501
EXPC,Experience Investment Corp.,NASD,,,,,12.35,1271110
FNGU,BMO REX MicroSectors FANG  Index 3X Leveraged ETN,NYSE,,,,,31.03,7383933
FRX,Forest Road Acquisition Corp.,NYSE,,,,,11.24,1780673
FSR,Fisker Inc.,NYSE,Financial,Asset Managers,,,21.18,9717811
FTCVU,FinTech Acquisition Corp.,NASD,,,,,16.87,2381069
FTOC,FTAC Olympus Acquisition Corp.,NASD,,,,,11.93,1983111
FUSE,Fusion Acquisition Corp.,NYSE,,,,,10.2,1414806
FUTU,Futu Holdings Ltd.,NASD,Technology,Software,,,142.22,18874301
FUV,"Arcimoto, Inc.",NASD,Industrial,Commercial Vehicles,,,17.91,1921990
GBTC,Grayscale Bitcoin Trust,OTCMKT,,,,,49.86,6091282
GDRX,"GoodRx Holdings, Inc.",NASD,Technology,Software,,,37.46,2765815
GFL,GFL Environmental Holdings Inc,NYSE,Industrial,Waste & Disposal Services,,,32.29,1096505
GHVI,Gores Holdings Inc.,NASD,,,,,15.22,1617600
GIK,GigCapital3 Inc.,NYSE,,,,,12.4,1116750
GILT,Gilat Satellite Networks Ltd.,NASD,Technology,Telecom Equipment,,,12.6,1570693
GMBL,Esports Entertainment Group Inc.,NASD,Consumer Discretionary,Gambling,,,15.74,1383148
GNOG,"Golden Nugget Online Gaming, Inc.",NASD,,,,,17.35,3296120
GOCO,GoHealth Inc.,NASD,Financial,Insurance Brokers,,,11.37,3132439
GOEV,Canoo Inc.,NASD,,,,,15.44,7610877
GOOS,Canada Goose Holdings Inc.,NYSE,Consumer Discretionary,Apparel Retailers,,,43.31,1058111
GSAH,GS Acquisition Holdings Corp II,NYSE,,,,,11.32,2124827
GSX,GSX Techedu Inc.,NYSE,Technology,Software,,,89.3,2936568
GTPBU,Gores Technology Partners Inc.,NASD,,,,,10.145,1527521
GWAC,Good Works Acquisition Corp.,NASD,,,,,10.94,1462537
HAYW,Hayward Holdings Inc.,NYSE,,,,,16.9,1411050
HGEN,"Humanigen, Inc.",NASD,Health Care,Biotechnology,,,17.79,1071456
HIMS,"Hims & Hers Health, Inc.",NYSE,Health Care,Health Care Providers,,,16.38,1921386
HIMX,Himax Technologies Inc.,NASD,Technology,Semiconductors,,,13.31,5949177
HOL,Holicity Inc.,NASD,,,,,13.03,1563832
HUYA,HUYA Inc.,NYSE,Technology,Software,,,26.21,1883449
HYLN,Hyliion Holdings Corp.,NYSE,Industrial,Industrial Suppliers,,,13.99,2156536
HZON,Horizon Acquisition Corp.,NYSE,,,,,10.88,1135444
IPOE,Social Capital Hedosophia Holdings Corp.,NYSE,,,,,18.45,3023710
IPOF,Social Capital Hedosophia Holdings Corp.,NYSE,,,,,11.69,4001994
IQ,iQIYI Inc.,NASD,Communication Services,Internet,,,25.5,4404472
ISUN,"Sun, Inc.",NASD,Industrial,Industrial Suppliers,,,15.31,2817639
JKS,Jinkosolar Holding Co. Ltd.,NYSE,Technology,Renewable Energy Equipment,,,45.92,1389056
JMIA,Jumia Technologies AG SPON ADS Each Rep 2 ORD SHS,NYSE,Communication Services,Internet,,,48.17,6795741
KC,Kingsoft Cloud Holdings Ltd,NASD,Technology,Computer Services,,,50.42,2138026
KL,Kirkland Lake Gold Ltd.,NYSE,Materials,Gold Mining,,,34.44,1570804
KMPH,"KemPharm, Inc.",NASD,Health Care,Biotechnology,,,11.03,13968840
KOSS,Koss Corp.,NASD,Communication Services,Mobile Telecommunications,,,26.7,2670641
LAC,Lithium Americas Corp.,NYSE,Materials,Nonferrous Metals,,,16.25,3582212
LAZR,"Luminar Technologies, Inc.",NASD,Technology,Software,,,27.91,4536668
LCAAU,L Catterton Asia Acquisition Corp.,NASD,,,,,10,1131523
LESL,Leslies Inc.,NASD,Consumer Discretionary,Home Improvement Retailers,,,22.93,1114780
LI,Li Auto Inc.,NASD,Consumer Discretionary,Automobiles,,,25.84,11023894
LIZI,Lizhi Inc,NASD,Communication Services,Entertainment,,,13.65,63476345
LMND,Lemonade Inc.,NYSE,Financial,Property-Casualty Insurance,,,107.33,2634067
LU,Lufax Holding Ltd.,NYSE,Financial,Consumer Finance,,,14.67,2337697
LX,LexinFintech Holdings Ltd.,NASD,Financial,Consumer Finance,,,13.39,2345538
MAG,MAG Silver Corp.,AMEX,Materials,Nonferrous Metals,,,16.09,1043663
MARA,"Marathon Patent Group, Inc.",NASD,Industrial,Business Support Services,,,38.36,14827637
MDLA,Medallia Inc.,NYSE,Technology,Software,,,29.12,1612367
MGP,MGM Growth Properties LLC,NYSE,Real Estate,Hotel & Lodging REITs,,,33.81,1864827
MILE,"Metromile, Inc.",NASD,Financial,Property-Casualty Insurance,,,12.78,1136555
MOGO,Mogo Finance Technology Inc.,NASD,Financial,Consumer Finance,,,10.02,3511477
MP,MP Materials Corp.,NYSE,Materials,General Mining,,,43.54,3619870
MRVI,Maravai LifeSciences Holdings Inc.,NASD,Health Care,Biotechnology,,,37.5,1157704
MVIS,"Microvision, Inc.",NASD,Technology,Electronic Equipment,,,16.83,8027246
MX,MagnaChip Semiconductor Corp.,NYSE,Technology,Semiconductors,,,23.05,1455276
NCTY,The9 Ltd.,NASD,Consumer Discretionary,Toys,,,57.49,1940466
NFE,New Fortress Energy LLC,NASD,Utilities,Gas Distribution,,,54.11,2795136
NFH,New Frontier Corp.,NYSE,,,,,11.4,2384817
NGA,Northern Genesis Acquisition Corp.,NYSE,,,,,19.26,1947443
NKLA,Nikola Corporation,NASD,Consumer Discretionary,Automobiles,,,15.85,14369867
NNDM,Nano Dimension Ltd.,NASD,Technology,Electronic Equipment,,,10.29,25696482
NNOX,Nano X Imaging Ltd.,NASD,Health Care,Medical Equipment,,,47.4,2354261
NOG,"Northern Oil and Gas, Inc.",AMEX,Energy,Exploration & Production,,,13.69,1008756
NOVA,Sunnova Energy International Inc.,NYSE,Technology,Renewable Energy Equipment,,,38.64,1936159
NPA,New Providence Acquisition Corp.,NASD,,,,,12.94,1024483
OPEN,Opendoor Technologies Inc.,NASD,Real Estate,Real Estate Services,,,27.38,12390810
ORCC,Owl Rock Capital Corp.,NYSE,Financial,Asset Managers,,,14.21,1094568
OSCR,Oscar Health Inc.,NYSE,Health Care,Health Care Providers,,,36.12,1184848
OSH,"Oak Street Health, Inc.",NYSE,Health Care,Health Care Providers,,,55.5,1551080
OUST,"Ouster, Inc.",NYSE,,,,,10.63,1447015
PAYA,Paya Holdings Inc.,NASD,,,,,12.73,1248672
PERI,Perion Network Ltd.,NASD,Technology,Software,,,19.38,1574892
PING,Ping Identity Holding Corp.,NYSE,Technology,Software,,,22.91,1574199
PLL,Piedmont Lithium Limited,NASD,Materials,Nonferrous Metals,,,76.63,1135174
PLMIU,Plum Acquisition Corp.,NASD,,,,,9.98,6934604
PLTR,"Palantir Technologies, Inc.",NYSE,Technology,Software,,,25.61,73614587
POSH,Poshmark Inc.,NASD,Consumer Discretionary,Apparel Retailers,,,46.37,1166081
PPD,PPD Inc.,NASD,Health Care,Pharmaceuticals,,,37.41,1175341
PRCH,"Porch.com, Inc.",NASD,,,,,19.57,1372919
PSAC,Property Solutions Acquisition Corp.,NASD,,,,,13.2,1029519
PSTH,Pershing Square Tontine Holdings Ltd.,NYSE,,,,,27.34,2637798
QFIN,360 Finance Inc.,NASD,Financial,Consumer Finance,,,31.73,8236538
QS,QuantumScape Corporation,NYSE,Consumer Discretionary,Auto Parts,,,57.03,13027413
RAAS,Cloopen Group Holding Ltd.,NYSE,Technology,Software,,,20.14,3062720
RBAC,RedBall Acquisition Corp.,NYSE,,,,,10.35,3436397
RBLX,Roblox Corporation,NYSE,Communication Services,Entertainment,,,77,30274428
REAL,RealReal Inc.,NASD,Consumer Discretionary,Specialty Retailers,,,24.23,2222300
RIDE,Lordstown Motors Corp.,NASD,,,,,15.22,11620883
RIOT,"Riot Blockchain, Inc.",NASD,Technology,Software,,,56.98,18221620
RKT,Rocket Companies Inc.,NYSE,Financial,Mortgage Finance,,,25,16066564
RLX,RLX Technology Inc.,NYSE,Consumer Staples,Tobacco,,,19,5378320
RMO,"Romeo Power, Inc.",NYSE,Consumer Discretionary,Auto Parts,,,13.11,5495571
ROOT,Root Inc.,NASD,Financial,Property-Casualty Insurance,,,11.22,4349227
RPRX,Royalty Pharma Plc,NASD,Health Care,Biotechnology,,,46.9,2701978
RSI,"Rush Street Interactive, Inc.",NYSE,,,,,20.7,1872943
RTP,Reinvent Technology Partners,NYSE,,,,,10.73,1098854
RTPYU,Reinvent Technology Partners,NASD,,,,,10.11,14670101
RVLV,"Revolve Group, Inc.",NYSE,Consumer Discretionary,Specialty Retailers,,,52.81,1570536
RXT,Rackspace Technology Inc.,NASD,Technology,Computer Services,,,22.83,4735493
SBLK,Star Bulk Carriers Corp.,NASD,Industrial,Marine Transportation,,,15,1051082
SCAQU,Stratim Cloud Acquisition Corp.,NASD,,,,,10,1436849
SCKT,"Socket Mobile, Inc.",NASD,Technology,Telecom Equipment,,,10.1,1378966
SDC,SmileDirectClub Inc.,NASD,Health Care,Medical Equipment,,,11.5,3965015
SFTW,Osprey Technology Acquisition Corp.,NYSE,,,,,10.77,2866145
SHC,Sotera Health Co,NASD,Health Care,Medical Supplies,,,27,3668478
SHLS,Shoals Technologies Group Inc.,NASD,Technology,Renewable Energy Equipment,,,38.17,1951786
SI,Silvergate Capital Corp,NYSE,Financial,Banks,,,156.64,2133707
SLQT,SelectQuote Inc.,NYSE,Financial,Life Insurance,,,28.95,2193462
SNOW,Snowflake Inc.,NYSE,Technology,Software,,,232.14,5563967
SOL,ReneSola Ltd.,NYSE,Technology,Renewable Energy Equipment,,,13.77,3210727
SSRM,SSR Mining Inc.,NASD,Materials,Gold Mining,,,15.33,1045170
SSYS,"Stratasys, Inc.",NASD,Technology,Computer Hardware,,,27.49,2112306
STPK,Star Peak Energy Transition Corp.,NYSE,,,,,30.86,4045700
SUMO,Sumo Logic Inc.,NASD,Technology,Software,,,20.81,6322184
SUNW,"Sunworks, Inc.",NASD,Technology,Telecom Equipment,,,13.53,3871933
TAK,Takeda Pharmaceutical Co. Ltd.,NYSE,Health Care,Pharmaceuticals,,,18.91,2533464
THCB,Tuscan Holdings Corp,NASD,,,,,15.23,1786703
TIGR,UP Fintech Holding Ltd.,NASD,Financial,Investment Services,,,21.27,7579111
TLRY,"Tilray, Inc.",NASD,Health Care,Medical Supplies,,,26.97,42307850
TME,Tencent Music Entertainment Group,NYSE,Communication Services,Entertainment,,,26.45,11217671
TPGY,TPG Pace Beneficial Finance Corp.,NYSE,,,,,19.84,1491208
TRIL,Trillium Therapeutics Inc.,NASD,Health Care,Biotechnology,,,10.79,1009770
TTCF,"Tattooed Chef, Inc.",NASD,Consumer Staples,Food Products,,,21.84,1074102
